大李水餃,106台北市大安區和平東路二段118巷54弄35號
山西刀削麵,106台北市大安區和平東路二段118巷2號
親來食堂,106台北市大安區和平東路二段118巷52弄14號
滇味小廚,106台北市大安區復興南路二段340巷5號
台一牛奶大王,106台北市大安區新生南路三段82號
春山茶水舖,106台北市大安區復興南路二段323號
靚咖哩,106台北市大安區和平東路二段118巷2號
呂 巷仔口米粉湯,106台北市大安區和平東路二段118巷48號
發現義大利麵,106台北市大安區和平東路二段118巷2之2號
3隻貓頭鷹文創,106台北市大安區和平東路二段96巷15弄38號
笑嘻嘻港式現炒飯麵,106台北市大安區和平東路二段118巷59號
忠誠山東蔥油餅 - 此燈亮有餅,106台北市大安區和平東路二段118巷44號
南台虱目魚之家,106台北市大安區和平東路二段116號
鳳城燒臘粵菜,106台北市大安區新生南路三段58之3號
阿玉水餃 (生水餃專賣店),106台北市大安區辛亥路二段217號
貝倫烘焙餐坊 台北店,106台北市大安區和平東路二段118巷37號
我家吃麵,106台北市大安區和平東路二段118巷4弄2號
麥當勞-復興二店,106台北市大安區復興南路二段273號
美濃客家粄條,106台北市大安區和平東路二段118巷46號
一極拌福州乾拌麵,106台北市大安區和平東路二段118巷59號
池先生咖哩屋,106台北市大安區復興南路二段385號
藍家割包,100台北市中正區羅斯福路三段316巷8弄3號
松田日式飯糰,106台北市大安區和平東路二段118巷5號
七里亭,106台北市大安區羅斯福路三段333巷8號
長興小舖,106台北市大安區復興南路二段362號
巧味快餐,106台北市大安區和平東路二段118巷43號
金峰魯肉飯,100台北市中正區羅斯福路一段10號
小李子蘭州牛肉拉麵館,106台北市大安區和平東路二段118巷57號
憶馬當鮮 馬來西亞風味料理,106台北市大安區和平東路二段118巷61號
台越美食,之 號, No. 15-1和平東路二段96巷大安區台北市106
肯德基KFC-台北台大餐廳,106台北市大安區新生南路三段96-1號
二八麵堂,106台北市大安區和平東路二段118巷65-4號
阿英滷肉飯,106台北市大安區溫州街74巷5弄1號
小飯廳,106台北市大安區羅斯福路三段333巷6號
臨江街夜市 (通化夜市),106台北市大安區臨江街40巷1弄
Barkers,106台北市大安區和平東路二段118巷41號
湄賽雲泰料理,106台北市大安區和平東路二段118巷39號
七里亭Bar·茶飲簡餐,106台北市大安區復興南路二段358號
蠶居,106台北市大安區羅斯福路三段283巷7弄2號
永和豆漿大王,106台北市大安區復興南路二段102號
邦食堂,106台北市大安區和平東路二段96巷17弄28號
格芮潘義式廚房,106台北市大安區和平東路二段118巷5-1號
合益佳雞肉飯,106台北市大安區和平東路二段118巷54弄7號
96巷麵店,106台北市大安區和平東路二段96巷12-2號
瑞榮燒臘,106台北市大安區復興南路二段346號
瑞安豆漿大王,106台北市大安區瑞安街69號
馬祖麵館,106台北市大安區和平東路二段118巷49號
正香馬來西亞餐室（原正香海南雞飯）,Dan, No. 203辛亥路二段大安區台北市106
Blue磚塊義法廚房,106台北市大安區辛亥路二段169號
Curry Kitchen咖哩廚房(台大辛亥店),106台北市大安區和平東路二段118巷61號之1號
溏老鴨平價小火鍋,106台北市大安區新生南路三段70巷3號
貳樓餐廳 Second Floor Cafe 公館店,100台北市中正區羅斯福路三段316巷9弄7號
