大李水餃,106台北市大安區和平東路二段118巷54弄35號
親來食堂,106台北市大安區和平東路二段118巷52弄14號
山西刀削麵,106台北市大安區和平東路二段118巷2號
台一牛奶大王,106台北市大安區新生南路三段82號
靚咖哩,106台北市大安區和平東路二段118巷2號
滇味小廚,106台北市大安區復興南路二段340巷5號
春山茶水舖,106台北市大安區復興南路二段323號
呂 巷仔口米粉湯,106台北市大安區和平東路二段118巷48號
3隻貓頭鷹文創,106台北市大安區和平東路二段96巷15弄38號
發現義大利麵,106台北市大安區和平東路二段118巷2之2號
南台虱目魚之家,106台北市大安區和平東路二段116號
笑嘻嘻港式現炒飯麵,106台北市大安區和平東路二段118巷59號
忠誠山東蔥油餅 - 此燈亮有餅,106台北市大安區和平東路二段118巷44號
鳳城燒臘粵菜,106台北市大安區新生南路三段58之3號
貝倫烘焙餐坊 台北店,106台北市大安區和平東路二段118巷37號
阿玉水餃 (生水餃專賣店),106台北市大安區辛亥路二段217號
陳三鼎黑糖青蛙鮮奶創始店,100台北市中正區羅斯福路三段316巷8弄2號
我家吃麵,106台北市大安區和平東路二段118巷4弄2號
勝立百貨,106台北市大安區復興南路二段291號
美濃客家粄條,106台北市大安區和平東路二段118巷46號
華山1914文化創意產業園區,100台北市中正區八德路一段1號
麥當勞-復興二店,106台北市大安區復興南路二段273號
池先生咖哩屋,106台北市大安區復興南路二段385號
一極拌福州乾拌麵,106台北市大安區和平東路二段118巷59號
STARBUCKS 星巴克 (辛亥門市),106台北市大安區辛亥路二段175號
七里亭,106台北市大安區羅斯福路三段333巷8號
國立臺灣大學醉月湖,10617台北市大安區羅斯福路四段1號
松田日式飯糰,106台北市大安區和平東路二段118巷5號
藍家割包,100台北市中正區羅斯福路三段316巷8弄3號
巧味快餐,106台北市大安區和平東路二段118巷43號
長興小舖,106台北市大安區復興南路二段362號
憶馬當鮮 馬來西亞風味料理,106台北市大安區和平東路二段118巷61號
金峰魯肉飯,100台北市中正區羅斯福路一段10號
中正紀念堂,100台北市中正區中山南路21號
大安森林公園,106台北市大安區新生南路二段1號
小李子蘭州牛肉拉麵館,106台北市大安區和平東路二段118巷57號
誠品信義店,110台北市信義區松高路11號
阿英滷肉飯,106台北市大安區溫州街74巷5弄1號
小飯廳,106台北市大安區羅斯福路三段333巷6號
二八麵堂,106台北市大安區和平東路二段118巷65-4號
台越美食,之 號, No. 15-1和平東路二段96巷大安區台北市106
光華商場,100台北市中正區市民大道三段8號
Barkers,106台北市大安區和平東路二段118巷41號
誠品書局台大店,106台北市大安區新生南路三段98號
臨江街夜市 (通化夜市),106台北市大安區臨江街40巷1弄
肯德基KFC-台北台大餐廳,106台北市大安區新生南路三段96-1號
誠品敦南店,106台北市大安區敦化南路一段245號
湄賽雲泰料理,106台北市大安區和平東路二段118巷39號
國立臺灣大學綜合體育館,106台北市大安區羅斯福路四段1號
松山文創園區,110台北市信義區光復南路133號
永和豆漿大王,106台北市大安區復興南路二段102號
格芮潘義式廚房,106台北市大安區和平東路二段118巷5-1號
邦食堂,106台北市大安區和平東路二段96巷17弄28號
七里亭Bar·茶飲簡餐,106台北市大安區復興南路二段358號
蠶居,106台北市大安區羅斯福路三段283巷7弄2號
Blue磚塊義法廚房,106台北市大安區辛亥路二段169號
合益佳雞肉飯,106台北市大安區和平東路二段118巷54弄7號
正香馬來西亞餐室（原正香海南雞飯）,Dan, No. 203辛亥路二段大安區台北市106
瑞安豆漿大王,106台北市大安區瑞安街69號
京站時尚廣場 Q Square,103台北市大同區承德路一段1號
瑞榮燒臘,106台北市大安區復興南路二段346號
臺北市立動物園,11656台北市文山區新光路二段30號
馬祖麵館,106台北市大安區和平東路二段118巷49號
96巷麵店,106台北市大安區和平東路二段96巷12-2號
公館夜市商圈,100台北市大安區羅斯福路四段90巷
新光三越台北信義新天地A11館,110台北市信義區松壽路11號
IKEA宜家家居 敦北店,105台北市松山區敦化北路100號
ATT 4 FUN 信義店,110台北市信義區松壽路12號
溏老鴨平價小火鍋,106台北市大安區新生南路三段70巷3號
紫牛平價牛排,106台北市大安區和平東路二段118巷69號
找碗,106台北市大安區辛亥路二段199號
Curry Kitchen咖哩廚房(台大辛亥店),106台北市大安區和平東路二段118巷61號之1號
東南亞秀泰影城,100台北市中正區羅斯福路四段136巷3號
小飯館兒,100台北市中正區汀洲路三段202號
貳樓餐廳 Second Floor Cafe 公館店,100台北市中正區羅斯福路三段316巷9弄7號
台北101,111台北市信義區信義路五段7號
韓庭州韓國料理,106台北市大安區溫州街87號
熊巴土司 台北店,106台北市大安區復興南路二段344號
BURGER KING漢堡王 敦南店,106台北市大安區敦化南路二段164號
饒河街觀光夜市,105台北市松山區饒河街
山林美食館,106台北市大安區辛亥路二段171巷31號
老宋記真善美牛肉麵,106台北市大安區安居街47號
麥子磨麵,106台北市大安區羅斯福路三段283巷22號
Syntrend 三創生活園區,10058台北市中正區市民大道三段2號
采味食光Give Happiness,106台北市大安區和平東路二段118巷36號
提拉米蘇,106台北市大安區復興南路二段162號
郭董麻辣牛肉麵,106台北市大安區和平東路二段118巷59號
小六手工拉麵,106台北市大安區和平東路二段223號
微笑廚房洋食館,106台北市大安區和平東路二段118巷54弄3號
川味辛亥小吃,106台北市大安區台北市大安區辛亥路二段201號
小川拉麵,106台北市大安區復興南路二段190號
深坑老街,222新北市深坑區深坑街
遠東SOGO台北復興館,106台北市大安區忠孝東路三段300號
玉欣珍傳統美食坊,106台北市大安區復興南路二段291號
阿英海產粥,106台北市大安區復興南路二段268號
鳳城臘味家 (百合店),106台北市大安區羅斯福路三段283巷6號
蔣記家薌麵,106台北市大安區四維路208巷18之1號
有錢真好,106台北市大安區和平東路二段118巷58號
百老匯影城,116台北市文山區羅斯福路四段200號3、4號
蘇活義大利麵坊,106台北市大安區新生南路三段60巷3號
惡燒肉便當,106台北市大安區和平東路二段311巷19號
全國食養健康素食自助餐 大安復興店,106台北市大安區復興南路二段314號
蘇草salvia,106台北市大安區辛亥路二段209號
韓喜堂,號, No. 29和平東路二段118巷54弄大安區台北市106
師大夜市,106台北市大安區師大路39巷
鼎泰豐 信義店,106台北市大安區信義路二段194號
陽明山國家公園,
好食早餐,106台北市大安區和平東路三段1巷6-5號
小木屋鬆餅(台大店),106台北市大安區羅斯福路四段1號
象山親山步道,110台北市信義區信義路五段150巷342弄
泰國小館,100台北市中正區汀州路三段219號
臺大黑飯糰,106台北市大安區辛亥路二段171巷10號
淡水老街,251新北市淡水區中正路
墾丁蛋蛋ㄉㄨㄞ奶,100台北市中正區汀州路三段165號
